Nome Pulsante/Scheda,Pagina di Partenza,Destinazione (PDF/URL),Ministero/Ente,Riferimento Normativo,URL Ufficiale di Destinazione,Status Lightbox,Protezioni Attive,Note
Scenario Futuro,Spot,/assets/doc/SCENARIOFUTURO(2).pdf,Presidenza Consiglio,Scenario strategico futuro,-,✅ Funzionante,P+S+Context,Documenti Base
Analisi Commercio Ambulante,Spot,/assets/doc/ANALISICOMMERCIOAMBULANTE(2).pdf,Min. Sviluppo Economico,Commercio ambulante,-,✅ Funzionante,P+S+Context,Analisi e Ricerche
Report Controlli PA,Spot,/assets/doc/REPORTCONTROLLIPA(2).pdf,Min. PA e Innovazione,Controlli PA,-,✅ Funzionante,P+S+Context,Analisi e Ricerche
Analisi Dati Sistema,Spot,/assets/doc/ANALISIDATISISTEMA(2).pdf,Min. PA e Innovazione,Analisi dati,-,✅ Funzionante,P+S+Context,Analisi e Ricerche
Mercato dell'Usato,Spot,/assets/doc/MERCATODELLUSATO(2).pdf,Min. Sviluppo Economico,Mercato usato,-,✅ Funzionante,P+S+Context,Analisi e Ricerche
Riequilibrio Economico,Spot,/assets/doc/RIEQUILIBRIOECONOMICO(2).pdf,Min. Economia e Finanze,Riequilibrio economico,-,✅ Funzionante,P+S+Context,Analisi e Ricerche
Relazione Approfondita DMS (102 pagine),Spot,/assets/doc/RELAZIONEAPPROFONDITA(2).pdf,Presidenza Consiglio,Relazione completa DMS,-,✅ Funzionante,P+S+Context,Analisi e Ricerche
DMS Sistema Completo,Spot,/assets/doc/DMSSSET(2).pdf,Min. PA e Innovazione,Sistema completo DMS,-,✅ Funzionante,P+S+Context,Implementazione Tecnica
Implementazioni Avanzate,Spot,/assets/doc/IMPLEMENTAZIONIAVANZATE(2).pdf,Min. PA e Innovazione,Implementazioni avanzate,-,✅ Funzionante,P+S+Context,Implementazione Tecnica
DMS Offline con CIE,Spot,/assets/doc/DMSOFFLINECONCIE(2).pdf,Min. Interno,CIE e sistemi offline,-,✅ Funzionante,P+S+Context,Implementazione Tecnica
Gestione Servizi Accessori,Spot,/assets/doc/GESTIONESERVIZIACCESSORI(2).pdf,Min. PA e Innovazione,Servizi accessori,-,✅ Funzionante,P+S+Context,Implementazione Tecnica
DMS al Centro di Tutto,Spot,/assets/doc/DMSALCENTRODITUTTO(2).pdf,Min. PA e Innovazione,Centralità DMS,-,✅ Funzionante,P+S+Context,Implementazione Tecnica
Frammentazione Digitale PA,Spot,/assets/doc/FRAMMENTAZIONEDIGITALEPA(2).pdf,Min. PA e Innovazione,Frammentazione digitale,-,✅ Funzionante,P+S+Context,Implementazione Tecnica
DMS FinTech,Spot,/assets/doc/DMSFINTECH(2).pdf,Min. Economia e Finanze,FinTech e DMS,-,✅ Funzionante,P+S+Context,FinTech e Carbon Credit
Eco Carbon Credit,Spot,/assets/doc/ECOCARBONCREDIT(2).pdf,Min. Ambiente,Eco carbon credit,-,✅ Funzionante,P+S+Context,FinTech e Carbon Credit
Logica Carbon Credit Avanzata,Spot,/assets/doc/LOGICACARBONCREDITAVANZATA(2).pdf,Min. Ambiente,Logica avanzata carbon,-,✅ Funzionante,P+S+Context,FinTech e Carbon Credit
Eventi Straordinari,Spot,/assets/doc/EVENTISTRAORDINARI(2).pdf,Presidenza Consiglio,Eventi straordinari,-,✅ Funzionante,P+S+Context,FinTech e Carbon Credit
Progetto Nazionale,Spot,/assets/doc/PROGETTONAZIONALE(2).pdf,Presidenza Consiglio,Progetto nazionale DMS,-,✅ Funzionante,P+S+Context,Progetto Nazionale
Hub DMS Web3 Europa,Spot,/assets/doc/HUBDMSWEB3EUROPA(2).pdf,UE - Digitale,Hub Web3 europeo,-,✅ Funzionante,P+S+Context,Progetto Nazionale
Premessa Politica,Spot,/assets/doc/PREMESSAPOLITICA(2).pdf,Presidenza Consiglio,Premessa politica DMS,-,✅ Funzionante,P+S+Context,Progetto Nazionale
Bolkestein Commercio,Spot,/assets/doc/BOLKESTEINCOMMERCIO(2).pdf,UE - Mercato Interno,Dir. 2006/123/CE Bolkestein,-,✅ Funzionante,P+S+Context,Progetto Nazionale
App DMS Assistente,Spot,/assets/doc/APPDMSASSISTENTE(2).pdf,Min. PA e Innovazione,App assistente DMS,-,✅ Funzionante,P+S+Context,App e Strumenti
DMS Locandina,Spot,/assets/doc/DMSLOCANDINA(2).pdf,Min. PA e Innovazione,Locandina promozionale,-,✅ Funzionante,P+S+Context,App e Strumenti
DMS Set v2,Spot,/assets/doc/DMSSSET(2).pdf,Min. PA e Innovazione,Set completo v2,-,✅ Funzionante,P+S+Context,App e Strumenti
Single Digital Gateway,Spot,Reg. UE 2018/1724,UE - Digitale,Reg. UE 2018/1724,https://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32018R1724,N/A,N/A,Riferimento normativo
Interoperable Europe,Spot,Reg. UE 2024/903,UE - Digitale,Reg. UE 2024/903,https://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32024R0903,N/A,N/A,Riferimento normativo
eIDAS 2 – Digital Wallet,Spot,Reg. UE 2024/1183,UE - Digitale,Reg. UE 2024/1183,https://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32024R1183,N/A,N/A,Riferimento normativo
ESPR & Digital Product Passport,Spot,Reg. UE 2024/1781,UE - Ambiente,Reg. UE 2024/1781,https://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32024R1781,N/A,N/A,Riferimento normativo
Direttiva Servizi (Bolkestein),Spot,Dir. 2006/123/CE,UE - Mercato Interno,Dir. 2006/123/CE,https://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32006L0123,N/A,N/A,Riferimento normativo
SUAP – DPR 160/2010,Spot,DPR 160/2010,Min. PA e Innovazione,DPR 160/2010,https://www.gazzettaufficiale.it/eli/id/2010/10/07/010G0184/sg,N/A,N/A,Riferimento normativo
Riforma Dogane UE,Spot,COM(2023) 258–260,UE - Dogane,COM(2023) 258-260,https://ec.europa.eu/taxation_customs/,N/A,N/A,Riferimento normativo
PNRR – Italia Domani,Spot,Piano Nazionale,Presidenza Consiglio,PNRR Italia Domani,https://www.governo.it/it/cipe/pnrr,N/A,N/A,Riferimento normativo
PDND – Piattaforma Digitale,Spot,Piattaforma PDND,Min. PA e Innovazione,PDND,https://www.pdnd.gov.it/,N/A,N/A,Riferimento normativo
AgID – Linee guida,Spot,Linee guida AgID,Min. PA e Innovazione,Linee guida interoperabilità,https://www.agid.gov.it/,N/A,N/A,Riferimento normativo
CBAM – Carbon Border,Spot,Reg. UE 2023/956,UE - Ambiente,Reg. UE 2023/956,https://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32023R0956,N/A,N/A,Riferimento normativo
ETS Revision,Spot,Dir. UE 2023/959,UE - Ambiente,Dir. UE 2023/959,https://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32023L0959,N/A,N/A,Riferimento normativo
CSRD – Corporate Sustainability,Spot,Dir. UE 2022/2464,UE - Sostenibilità,Dir. UE 2022/2464,https://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32022L2464,N/A,N/A,Riferimento normativo
AI Act,Spot,Reg. UE 2024/1689,UE - Digitale,Reg. UE 2024/1689,https://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32024R1689,N/A,N/A,Riferimento normativo

